Judul,Link,Ringkasan,Tanggal
"Jokowi: Saya yang Belajar Politik ke Pak Prabowo, Saling Belajar",https://news.detik.com/berita/d-7774045/jokowi-saya-yang-belajar-politik-ke-pak-prabowo-saling-belajar,Jokowi merespons pidato Presiden Prabowo yang menyatakan 'kalau politik ya saya belajar dari Pak Jokowi'. Dia mengaku justru belajar politik ke Prabowo.,"Selasa, 11 Feb 2025 23:17 WIB"
"Orang Terkaya Ramaikan Pelantikan Trump, Netizen Ledek Oligarki",https://inet.detik.com/fotoinet/d-7743000/orang-terkaya-ramaikan-pelantikan-trump-netizen-ledek-oligarki,Para orang terkaya dunia ramai hadir di pelantikan Donald Trump sebagai Presiden Amerika Serikat. Begini reaksi di media sosial.,"Selasa, 21 Jan 2025 17:31 WIB"
Arah Masa Depan Politik Kita,https://news.detik.com/kolom/d-7700100/arah-masa-depan-politik-kita,"Akhir 2024 merupakan ujian awal dari bobroknya sistem politik Indonesia, sementara Pemilu 2029 sudah diprediksi menjadi arena pertarungan kekuatan besar.","Selasa, 24 Des 2024 11:16 WIB"
Jokowi: Saya yang Belajar Politik ke Pak Prabowo,https://www.detik.com/jateng/berita/d-7773446/jokowi-saya-yang-belajar-politik-ke-pak-prabowo,Presiden Ke-7 RI Joko Widodo (Jokowi) merespons pidato Presiden Prabowo Subianto yang menyatakan 'kalau politik ya saya belajar dari Pak Jokowi'.,"Selasa, 11 Feb 2025 16:29 WIB"
"Mahasiswa Demo 'Indonesia Gelap', Pakar Fisipol UGM Bilang Begini",https://www.detik.com/edu/perguruan-tinggi/d-7785441/mahasiswa-demo-indonesia-gelap-pakar-fisipol-ugm-bilang-begini,"Dosen Fisipol UGM, Dr Subarsono mengapresiasi tuntutan yang dibacakan mahasiswa dalam demo 'Indonesia Gelap'. Begini katanya.","Rabu, 19 Feb 2025 15:00 WIB"
Legislator PKB Ajak Perempuan Terjun Dunia Politik: Sesuai Ajaran Agama,https://news.detik.com/berita/d-7665118/legislator-pkb-ajak-perempuan-terjun-dunia-politik-sesuai-ajaran-agama,Wakil Ketua Komisi IX DPR F-PKB Nihayatul Wafiroh mengajak perempuan untuk tak khawatir berkiprah dalam dunia politik.,"Minggu, 01 Des 2024 01:28 WIB"
Peran Penting Politik untuk Kiai dan Instrumen Penentu Kebijakan,https://www.detik.com/jabar/berita/d-7728691/peran-penting-politik-untuk-kiai-dan-instrumen-penentu-kebijakan,Ajengan anom berkumpul di Garut untuk Halaqoh Siyasah dan Harokah Santri. Diskusi tentang pentingnya politik dalam dakwah dan peran PKB di Jawa Barat.,"Minggu, 12 Jan 2025 22:00 WIB"
Ulasan CSIS soal Pilkada 2024: Petahana Bukan Jaminan Menang,https://news.detik.com/berita/d-7785578/ulasan-csis-soal-pilkada-2024-petahana-bukan-jaminan-menang,CSIS menyimpulkan posisi petahana di Pilkada kemarin bukanlah jaminan kemenangan. Ada pula pergeseran dominasi parpol yang terjadi di gelaran Pilkada kemarin.,"Rabu, 19 Feb 2025 14:00 WIB"
Klarifikasi Anggota DPRD Bone Andi Unru Usai Sebut Rakyat Budak Politik,https://www.detik.com/sulsel/watampone/d-7774037/klarifikasi-anggota-dprd-bone-andi-unru-usai-sebut-rakyat-budak-politik,"Anggota DPRD Bone, Andi Unru, klarifikasi pernyataan 'rakyat budak politik' saat unjuk rasa mahasiswa. Dia menyebut mahasiswa salah memahami omongannya.","Selasa, 11 Feb 2025 23:00 WIB"
Video Survei Indikator: Mayoritas Warga Puas dengan Program Makan Gratis,https://20.detik.com/detikupdate/20250127-250127073/video-survei-indikator-mayoritas-warga-puas-dengan-program-makan-gratis,"Indikator Politik Indonesia merilis hasil survei yang dilakukan kepada 1.220 responden terkait kepuasan program Makan Bergizi Gratis (MBG). Hasilnya, sebanyak 64% responden puas dengan MBG dan 21,7% kurang puas.","4,015 Views  |  Senin, 27 Jan 2025 17:01 WIB"
